file,line,column,pattern,original_snippet,replacement_snippet
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/DEPRECATED_ERROR_SHELDON_PLACEMENT.md,112,16,TBD,y in canon) |\n| **Members** | TBD — need to create profiles |\n|,MISSING:to_be_determined
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,417,9,DOUBLE_BRACKETS,kdown\n## Rea Masaki\n\nRea is a [[Character: Artificial Human]] from [[Location: Geminar]] wh,MISSING:Character_Artificial_Human
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,417,46,DOUBLE_BRACKETS,cter: Artificial Human]] from [[Location: Geminar]] who was \nadopted by [[Charact,MISSING:Location_Geminar
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,418,11,DOUBLE_BRACKETS,Geminar]] who was \nadopted by [[Character: Kiyone Masaki]] around [[Event: 1984-1985]]. ,MISSING:Character_Kiyone_Masaki
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,418,47,DOUBLE_BRACKETS,acter: Kiyone Masaki]] around [[Event: 1984-1985]]. She now \nlives at [[Location,MISSING:Event_1984-1985
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,419,9,DOUBLE_BRACKETS,984-1985]]. She now \nlives at [[Location: Masaki Shrine]] where she helps [[Character: ,MISSING:Location_Masaki_Shrine
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,419,53,DOUBLE_BRACKETS,saki Shrine]] where she helps [[Character: Katsuhito]] \nraise [[Character: Tenchi Ma,MISSING:Character_Katsuhito
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,420,6,DOUBLE_BRACKETS,Character: Katsuhito]] \nraise [[Character: Tenchi Masaki]].\n\nHer cooking style is virtua,MISSING:Character_Tenchi_Masaki
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,422,44,DOUBLE_BRACKETS,yle is virtually identical to [[Character: Kiyone Masaki]]'s \nbecause Kiyone taught her.,MISSING:Character_Kiyone_Masaki
/mnt/data/BIBLE_v14_COMPLETE/BIBLE_v14/01_CODEX_v4.1/AI_OPTIMIZED_BIBLE_ARCHITECTURE.md,423,44,DOUBLE_BRACKETS, taught her. She has a secret [[Mission: Geminar Offspring]] \nthat [[Character: Kiyone Mas,MISSING:Mission_Geminar_Offspring
